date,title,anger,fear,negative,positive,sadness,trust,anticipation,joy,disgust,surprise,anticip,word_count
2020-01-31,Swiping their way higher  Visa  Mastercard could be the next  1 trillion companies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-01-31,Late Rally Lifts Stocks Despite Coronavirus Concerns ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-01-30,US s Largest Stocks May Be Stretching Their Valuation Multiples Too Thin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-01-30,Stocks   U S  Futures Lower on Virus Fears  Tech Giants in Focus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-01-30,Dow Jones News  Microsoft and Coca Cola Report Strong Results,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-01-30,Stocks making the biggest moves midday  Tesla  Penn National Gaming  Facebook  Microsoft   more,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-01-30,The Ratings Game  Microsoft stock rallies amid chorus of earnings praise   What more could you want  ,0.0,0.0,0.0,0.03125,0.0,0.015625,0.0,0.015625,0.0,0.0,0.0,16
2020-01-30,Microsoft  2  as cloud drives Q2 beats,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-01-30,Wall Street set to drop as China epidemic raises growth concerns,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.0,0.011363636363636364,0.0,0.011363636363636364,0.011363636363636364,0.0,11
2020-01-30,Opening Bell  Stocks  Futures Resume Selloff On Spreading Virus  Bonds Rally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-01-30,Amazon Earnings On Deck  Will It Top Or Flop ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-01-30,Top 5 Things to Know in the Market on Thursday,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-01-30,Tech Daily  Apple  Facebook  Microsoft  AMD Earnings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-01-30,Disney Earnings Preview  Buy DIS Stock On The Dip For 2020 Streaming Growth ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
